2014-12-02 17:12:14,037 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(tr.)'
2014-12-02 17:12:14,039 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(tr,tr.)'
2014-12-02 17:12:14,040 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.Synthesis'
2014-12-02 17:12:14,041 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TextToMaryXML'
2014-12-02 17:12:14,042 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SableParser'
2014-12-02 17:12:14,042 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SSMLParser'
2014-12-02 17:12:14,043 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.APMLParser'
2014-12-02 17:12:14,044 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.EmotionmlParser'
2014-12-02 17:12:14,045 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JTokeniser'
2014-12-02 17:12:14,045 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2014-12-02 17:12:14,045 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2014-12-02 17:12:14,045 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PronunciationModel'
2014-12-02 17:12:14,045 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TargetFeatureLister'
2014-12-02 17:12:14,046 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HalfPhoneTargetFeatureLister'
2014-12-02 17:12:14,047 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.AcousticModeller'
2014-12-02 17:12:14,048 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedAcoustparamsExtractor'
2014-12-02 17:12:14,048 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedDurationsExtractor'
2014-12-02 17:12:14,049 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HTSEngine'
2014-12-02 17:12:14,050 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PraatTextGridGenerator'
2014-12-02 17:12:14,055 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale de).
2014-12-02 17:12:14,097 [main] INFO  marytts.JTokeniser Starting power-on self test.
2014-12-02 17:12:14,105 [main] INFO  marytts.JTokeniser Power-on self test complete.
2014-12-02 17:12:14,105 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale de).
2014-12-02 17:12:14,105 [main] INFO  marytts.Preprocess Starting power-on self test.
2014-12-02 17:12:14,107 [main] INFO  marytts.Preprocess Expanding say-as elements...
2014-12-02 17:12:14,108 [main] INFO  marytts.Preprocess Matching and expanding patterns...
2014-12-02 17:12:14,152 [main] INFO  marytts.Preprocess Done.
2014-12-02 17:12:14,152 [main] INFO  marytts.Preprocess Power-on self test complete.
2014-12-02 17:12:14,152 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale de).
2014-12-02 17:12:14,839 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2014-12-02 17:12:14,839 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2014-12-02 17:12:14,839 [main] INFO  marytts.JPhonemiser_de Module started (PARTSOFSPEECH->PHONEMES, locale de).
2014-12-02 17:12:14,863 [main] INFO  marytts.JPhonemiser_de Starting power-on self test.
2014-12-02 17:12:14,863 [main] INFO  marytts.JPhonemiser_de Power-on self test complete.
2014-12-02 17:12:14,876 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale de).
2014-12-02 17:12:14,876 [main] INFO  marytts.Prosody Starting power-on self test.
2014-12-02 17:12:14,876 [main] INFO  marytts.Prosody Power-on self test complete.
2014-12-02 17:12:14,876 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale de).
2014-12-02 17:12:14,876 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2014-12-02 17:12:14,876 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2014-12-02 17:12:14,877 [main] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale de).
2014-12-02 17:12:14,877 [main] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2014-12-02 17:12:14,878 [main] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2014-12-02 17:12:14,878 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale en).
2014-12-02 17:12:14,899 [main] INFO  marytts.JTokeniser Starting power-on self test.
2014-12-02 17:12:14,899 [main] INFO  marytts.JTokeniser Power-on self test complete.
2014-12-02 17:12:14,899 [main] INFO  marytts.TokenToWords Module started (FREETTS_TOKENS->FREETTS_WORDS, locale en).
2014-12-02 17:12:14,900 [main] INFO  marytts.FreeTTSVoices Loading US English FreeTTS voices...
2014-12-02 17:12:14,905 [main] INFO  marytts.FreeTTSVoices done.
2014-12-02 17:12:14,918 [main] INFO  marytts.TokenToWords Starting power-on self test.
2014-12-02 17:12:14,918 [main] INFO  marytts.TokenToWords Power-on self test complete.
2014-12-02 17:12:14,918 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_US).
2014-12-02 17:12:14,918 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2014-12-02 17:12:14,918 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2014-12-02 17:12:14,918 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_GB).
2014-12-02 17:12:14,918 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2014-12-02 17:12:14,918 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2014-12-02 17:12:14,923 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale en).
2014-12-02 17:12:14,923 [main] INFO  marytts.Prosody Starting power-on self test.
2014-12-02 17:12:14,924 [main] INFO  marytts.Prosody Power-on self test complete.
2014-12-02 17:12:14,924 [main] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale en_US).
2014-12-02 17:12:14,924 [main] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2014-12-02 17:12:14,925 [main] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2014-12-02 17:12:14,926 [main] INFO  marytts.Utt2XML WordsEn Module started (FREETTS_WORDS->WORDS, locale en).
2014-12-02 17:12:14,926 [main] INFO  marytts.FreeTTSVoices Loading US English FreeTTS voices...
2014-12-02 17:12:14,926 [main] INFO  marytts.FreeTTSVoices done.
2014-12-02 17:12:14,926 [main] INFO  marytts.Utt2XML WordsEn Starting power-on self test.
2014-12-02 17:12:14,926 [main] INFO  marytts.Utt2XML WordsEn Power-on self test complete.
2014-12-02 17:12:14,926 [main] INFO  marytts.XML2Utt TokensEn Module started (TOKENS->FREETTS_TOKENS, locale en).
2014-12-02 17:12:14,926 [main] INFO  marytts.FreeTTSVoices Loading US English FreeTTS voices...
2014-12-02 17:12:14,926 [main] INFO  marytts.FreeTTSVoices done.
2014-12-02 17:12:14,926 [main] INFO  marytts.XML2Utt TokensEn Starting power-on self test.
2014-12-02 17:12:14,926 [main] INFO  marytts.XML2Utt TokensEn Power-on self test complete.
2014-12-02 17:12:14,926 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale en).
2014-12-02 17:12:14,926 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2014-12-02 17:12:14,926 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2014-12-02 17:12:14,926 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale en).
2014-12-02 17:12:15,718 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2014-12-02 17:12:15,718 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2014-12-02 17:12:15,718 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale it).
2014-12-02 17:12:15,718 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2014-12-02 17:12:15,718 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2014-12-02 17:12:15,734 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale it).
2014-12-02 17:12:15,735 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2014-12-02 17:12:15,735 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2014-12-02 17:12:15,735 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale ru).
2014-12-02 17:12:15,747 [main] INFO  marytts.JTokeniser Starting power-on self test.
2014-12-02 17:12:15,750 [main] INFO  marytts.JTokeniser Power-on self test complete.
2014-12-02 17:12:15,750 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2014-12-02 17:12:15,751 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2014-12-02 17:12:15,751 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2014-12-02 17:12:15,751 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale ru).
2014-12-02 17:12:15,751 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2014-12-02 17:12:15,751 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2014-12-02 17:12:15,754 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2014-12-02 17:12:15,754 [main] INFO  marytts.Prosody Starting power-on self test.
2014-12-02 17:12:15,754 [main] INFO  marytts.Prosody Power-on self test complete.
2014-12-02 17:12:15,754 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale ru).
2014-12-02 17:12:15,755 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2014-12-02 17:12:15,755 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2014-12-02 17:12:15,755 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale sv).
2014-12-02 17:12:15,755 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2014-12-02 17:12:15,755 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2014-12-02 17:12:15,755 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale sv).
2014-12-02 17:12:15,755 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2014-12-02 17:12:15,755 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2014-12-02 17:12:15,756 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale te).
2014-12-02 17:12:15,772 [main] INFO  marytts.JTokeniser Starting power-on self test.
2014-12-02 17:12:15,774 [main] INFO  marytts.JTokeniser Power-on self test complete.
2014-12-02 17:12:15,774 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2014-12-02 17:12:15,774 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2014-12-02 17:12:15,774 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2014-12-02 17:12:15,774 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale te).
2014-12-02 17:12:15,774 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2014-12-02 17:12:15,774 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2014-12-02 17:12:15,776 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2014-12-02 17:12:15,776 [main] INFO  marytts.Prosody Starting power-on self test.
2014-12-02 17:12:15,776 [main] INFO  marytts.Prosody Power-on self test complete.
2014-12-02 17:12:15,776 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale te).
2014-12-02 17:12:15,777 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2014-12-02 17:12:15,777 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2014-12-02 17:12:15,777 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale tr).
2014-12-02 17:12:15,777 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2014-12-02 17:12:15,777 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2014-12-02 17:12:15,777 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale tr).
2014-12-02 17:12:15,778 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2014-12-02 17:12:15,778 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2014-12-02 17:12:15,780 [main] INFO  marytts.UnitSelectionSynthesizer started.
2014-12-02 17:12:15,782 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->TARGETFEATURES, locale null).
2014-12-02 17:12:15,782 [main] INFO  marytts.HTSEngine Module started (TARGETFEATURES->AUDIO, locale null).
2014-12-02 17:12:15,807 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2014-12-02 17:12:15,874 [main] INFO  marytts.HMMData Loading GV Model Set:
2014-12-02 17:12:16,020 [main] INFO  marytts.Voice Registering voice `bits1-hsmm': female, locale de
2014-12-02 17:12:16,025 [main] INFO  marytts.Voice New default voice for locale de: bits1-hsmm (desire 0)
2014-12-02 17:12:16,028 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2014-12-02 17:12:16,052 [main] INFO  marytts.HMMData Loading GV Model Set:
2014-12-02 17:12:16,150 [main] INFO  marytts.Voice Registering voice `cmu-slt-hsmm': female, locale en_US
2014-12-02 17:12:16,151 [main] INFO  marytts.Voice New default voice for locale en_US: cmu-slt-hsmm (desire 0)
2014-12-02 17:12:16,151 [main] INFO  marytts.HMMSynthesizer started.
2014-12-02 17:12:16,151 [main] INFO  marytts.Synthesis Module started (ACOUSTPARAMS->AUDIO, locale null).
2014-12-02 17:12:16,151 [main] INFO  marytts.HMMSynthesizer Starting power-on self test.
2014-12-02 17:12:16,167 [main] INFO  marytts.HTSEngine Using prosody from acoustparams.
2014-12-02 17:12:16,170 [main] INFO  marytts.HTSEngine Number of models in sentence numModel=7  Total number of states numState=35
2014-12-02 17:12:16,170 [main] INFO  marytts.HTSEngine Total number of frames=147  Number of voiced frames=89
2014-12-02 17:12:16,178 [main] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2014-12-02 17:12:16,178 [main] INFO  marytts.PStream Context-dependent global variance optimization: gvLength = 107
2014-12-02 17:12:16,182 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=23
2014-12-02 17:12:16,189 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=54
2014-12-02 17:12:16,194 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=47
