HeavyHigh	HeavyLong	HeavyLow	HeavyShort	HighLong	HighShort	LightHigh	LightLong	LightLow	LightShort	LowLong	LowShort	StressedHeavy	StressedHigh	StressedLight	StressedLong	StressedLow	StressedShort	UnstressedHeavy	UnstressedHigh	UnstressedLight	UnstressedLong	UnstressedLow	UnstressedShort	fn	genre_root	lang	name
0.154716981132	0.177358490566	0.441509433962	0.418867924528	0.0943396226415	0.19748427673	0.137106918239	0.0320754716981	0.266666666667	0.371698113208	0.115094339623	0.593081761006	0.319496855346	0.106918238994	0.117610062893	0.0962264150943	0.330188679245	0.340880503145	0.276729559748	0.184905660377	0.286163522013	0.11320754717	0.377987421384	0.449685534591	en.academic.linguistics.txt	prose	en	academic.linguistics
0.154875717017	0.158699808795	0.434903528594	0.431079436816	0.103598122719	0.19120458891	0.139926994612	0.0328524248218	0.270293759778	0.377368329567	0.0879541108987	0.617243177473	0.329741004693	0.100295498001	0.115765687467	0.0756127237963	0.34521119416	0.369893968364	0.260038240918	0.194507213628	0.294455066922	0.115939509821	0.359986094212	0.438553798018	en.academic.literature.txt	prose	en	academic.literature
0.142945832687	0.180350768276	0.461431010399	0.42402607481	0.135651094211	0.14806767034	0.140772931864	0.069998447928	0.25485022505	0.325624708986	0.114698121993	0.601583113456	0.44327176781	0.112680428372	0.0805525376377	0.10864504113	0.411143877076	0.415179264318	0.161105075275	0.171038336179	0.315070619277	0.141704175074	0.305137358373	0.334471519479	en.fiction.defoe.robinson.txt	prose	en	fiction.defoe.robinson
0.138612344923	0.163271557666	0.461326389953	0.436667177209	0.113493643743	0.161739929545	0.136621228366	0.0517690304794	0.263440036759	0.348292234645	0.101546944402	0.62321948231	0.423035686935	0.101853270026	0.081788941645	0.0926635013019	0.402971358554	0.412161127278	0.17690304794	0.173380303262	0.31827232348	0.122377086843	0.321795068157	0.372798284577	en.fiction.dickens.tale.txt	prose	en	fiction.dickens.tale
0.162663598447	0.179203221631	0.479217603912	0.462677980728	0.137350783834	0.158492736948	0.133179922336	0.0624190996692	0.224938875306	0.295699697972	0.104271537466	0.599884941752	0.44930245937	0.118509995685	0.0791025456637	0.102977132173	0.409895009348	0.425427872861	0.192578742989	0.177333525097	0.279016251978	0.138645189127	0.294261469869	0.332949805839	en.fiction.fitzgerald.txt	prose	en	fiction.fitzgerald
0.144030932818	0.150958595135	0.448525857902	0.441598195586	0.12195907846	0.165780570324	0.143708715966	0.0681488641856	0.263734493314	0.339294345094	0.0971483808603	0.615111970356	0.457709038183	0.115836958273	0.0720154664089	0.0913484775254	0.413887546319	0.438376027066	0.134847752537	0.171902690511	0.335427742871	0.127758981795	0.298372804898	0.342516513614	en.fiction.hemingway.txt	prose	en	fiction.hemingway
0.172839506173	0.210864197531	0.463456790123	0.425432098765	0.150617283951	0.161481481481	0.139259259259	0.0614814814815	0.224444444444	0.302222222222	0.121728395062	0.566172839506	0.420740740741	0.132839506173	0.0918518518519	0.131604938272	0.37975308642	0.380987654321	0.215555555556	0.179259259259	0.271851851852	0.140740740741	0.308148148148	0.346666666667	en.prose.blog.google.txt	prose	en	prose.blog.google
0.156914195749	0.180136447127	0.446733140908	0.42351088953	0.124376803988	0.181054841249	0.148517449488	0.0413277355025	0.247835213855	0.35502492784	0.0970873786408	0.597480976122	0.37903437418	0.121621621622	0.110732091315	0.0976121752821	0.368144843873	0.392154290213	0.224612962477	0.183810023616	0.285620572028	0.123852007347	0.32642351089	0.386381527158	en.prose.nyt.txt	prose	en	prose.nyt
0.0909090909091	0.193181818182	0.511363636364	0.409090909091	0.113636363636	0.0909090909091	0.113636363636	0.0568181818182	0.284090909091	0.340909090909	0.136363636364	0.659090909091	0.409090909091	0.0909090909091	0.113636363636	0.102272727273	0.431818181818	0.420454545455	0.193181818182	0.113636363636	0.284090909091	0.147727272727	0.363636363636	0.329545454545	en.speech.bush.txt	prose	en	speech.bush
0.110091743119	0.192660550459	0.522935779817	0.440366972477	0.128440366972	0.0825688073394	0.100917431193	0.0550458715596	0.266055045872	0.311926605505	0.119266055046	0.669724770642	0.394495412844	0.110091743119	0.128440366972	0.137614678899	0.412844036697	0.385321100917	0.238532110092	0.100917431193	0.238532110092	0.110091743119	0.376146788991	0.366972477064	en.speech.gettysburg.txt	prose	en	speech.gettysburg
0.138375842861	0.183817062445	0.470243330402	0.424802110818	0.132512459689	0.139255350337	0.133391967165	0.0577543242451	0.257988859572	0.333626502492	0.109058927001	0.619173262973	0.412782175315	0.109058927001	0.0923482849604	0.104075051305	0.396071533275	0.401055408971	0.195836997948	0.162708883026	0.299032541777	0.137496335386	0.332160656699	0.357373204339	en.speech.obama.txt	prose	en	speech.obama
0.156086956522	0.103043478261	0.403333333333	0.456376811594	0.0354347826087	0.236449275362	0.115797101449		0.324782608696	0.440579710145	0.0676086956522	0.660507246377	0.288623188406	0.132826086957	0.141666666667	0.0386956521739	0.297463768116	0.391594202899	0.270797101449	0.139057971014	0.298913043478	0.064347826087	0.430652173913	0.505362318841	fi.siljo.teuvo-pakkala.txt	prose	fi	siljo.teuvo-pakkala
0.156442256987	0.184742485498	0.510458780102	0.482158551591	0.113376691861	0.151168922482	0.108103357356	0.0543153454034	0.224995605555	0.278783617507	0.12568113904	0.609773246616	0.532782562841	0.130778695729	0.0622253471612	0.125505361223	0.464229214273	0.469502548778	0.134118474249	0.133766918615	0.27087361575	0.113552469678	0.271225171383	0.29143962032	en.hopkins.txt	poetry	en	hopkins
